artist,song_name,genres,album_name,song_id,album_id,genres_list,singular_genre,Top Emotions
Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],"edm, pop, pop dance, dance pop",Church,6o6STE55cbhH4BuM2EJRL9,3N6fadaHlhGxflLKYSDSoU,"['edm', 'pop', 'pop dance', 'dance pop']",Pop,Emotions unable to be determined
Rico Nasty,Rage,"trap queen, alternative r&b",Nasty,0d3pSVPhCfuzAJLyMUZYjT,4RKiTVGT9pCVRnqIkwKWo1,"['trap queen', 'alternative r&b']",Hip-Hop,"Anger, Distress"
Neko Case,Maybe Sparrow,"ectofolk, alternative country, canadian singer-songwriter, outlaw country, folk, singer-songwriter, lilith, new americana, canadian indie, chamber pop",Fox Confessor Brings the Flood,3QqRGEclfb3qnjs5NhSkRN,5yIiFmVkza1N3ddMtftxIZ,"['ectofolk', 'alternative country', 'canadian singer-songwriter', 'outlaw country', 'folk', 'singer-songwriter', 'lilith', 'new americana', 'canadian indie', 'chamber pop']",Folk,Excitement
Shobaleader One,Squarepusher Theme,"Dance, electronic",Elektrac,4r1buIv8EUAFlTW7TrXvio,2VBzTWIMcl6NAV5mtp9o7H,"['Dance', 'electronic']",Electronic,Emotions unable to be determined
Thy Art Is Murder,The Son of Misery,"deathcore, australian metal, melodic metalcore, australian metalcore, metalcore",Dear Desolation,49xA0DRBY36CTXpJzMn4AZ,6gZ3FvJSTtZxX6Z9AammGW,"['deathcore', 'australian metal', 'melodic metalcore', 'australian metalcore', 'metalcore']",Rock,Emotions unable to be determined
